Date;AUD;CAD;EUR;JPY;NZD;NOK;SWK;SWF;GBP
2001-10;-1,22;0,21;-1,32;-0,97;-1,17;-3,22;-0,96;-1,42;-1,71
2001-11;-1,34;0,30;-1,50;-1,28;-1,11;-3,72;-1,45;-1,37;-1,93
2001-12;-1,65;0,05;-1,81;-1,95;-1,46;-3,62;-1,86;-1,45;-2,47
2002-01;-1,58;0,07;-1,68;-1,83;-1,45;-3,62;-1,80;-1,22;-2,31
2002-02;-1,34;0,20;-1,46;-1,65;-1,28;-3,34;-1,59;-1,14;-2,15
2002-03;-1,50;0,10;-1,60;-2,06;-1,71;-3,46;-1,92;-1,28;-2,20
2002-04;-1,48;-0,04;-1,55;-2,04;-1,97;-3,38;-2,05;-1,36;-2,18
2002-05;-1,85;-0,30;-1,53;-2,01;-2,14;-3,25;-2,01;-1,02;-2,12
2002-06;-2,08;-0,35;-1,46;-1,82;-2,27;-3,34;-2,02;-0,95;-1,95
2002-07;-1,80;-0,32;-1,30;-1,59;-2,19;-3,47;-1,84;-0,35;-1,76
2002-08;-1,65;-0,28;-1,18;-1,24;-1,97;-3,26;-1,69;0,07;-1,71
2002-09;-1,40;0,01;-1,00;-0,98;-1,76;-3,14;-1,47;-0,01;-1,50
2002-10;-1,37;0,09;-1,06;-1,18;-1,80;-3,19;-1,52;-0,04;-1,55
2002-11;-1,89;-0,32;-1,31;-1,69;-2,24;-3,71;-1,71;-0,55;-1,97
2002-12;-2,04;-0,46;-1,22;-1,73;-2,31;-3,33;-1,68;-0,86;-2,14
2003-01;-2,21;-0,55;-1,36;-1,92;-2,45;-3,13;-1,91;-0,91;-2,31
2003-02;-2,13;-0,50;-1,26;-1,79;-2,48;-2,93;-1,95;-0,77;-2,06
2003-03;-1,97;-0,64;-1,08;-1,84;-2,46;-2,93;-1,61;-0,27;-1,89
2003-04;-2,02;-0,91;-1,07;-2,03;-2,25;-2,55;-1,57;-0,25;-1,80
2003-05;-1,95;-0,86;-0,82;-1,72;-2,08;-2,35;-1,26;-0,14;-1,72
